sector,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,sector_group
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2012,0.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2020,0.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2021,0.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CH,SWITZERLAND,2014,1.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CH,SWITZERLAND,2015,1.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CZ,CZECHIA,2008,1.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CZ,CZECHIA,2010,0.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CZ,CZECHIA,2011,0.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,CZ,CZECHIA,2020,0.6,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,ES,SPAIN,2018,1.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,ES,SPAIN,2021,1.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,ES,SPAIN,2024,1.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2008,18.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2009,17.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2010,18.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2011,10.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,8.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,9.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,11.6,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,10.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,9.6,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,14.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,12.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,10.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,14.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,17.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,18.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,12.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,16.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,FR,FRANCE,2013,1.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,FR,FRANCE,2014,0.9,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,FR,FRANCE,2015,1.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,FR,FRANCE,2016,2.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,FR,FRANCE,2017,3.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2008,2.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2009,2.0,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2014,2.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2019,1.9,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2020,1.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,IT,ITALY,2024,1.6,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,NL,NETHERLANDS,2020,1.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,NL,NETHERLANDS,2021,2.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,NL,NETHERLANDS,2022,2.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,NL,NETHERLANDS,2024,1.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,TR,TÜRKIYE,2012,0.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,TR,TÜRKIYE,2020,0.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",THOUSAND PERSONS,TR,TÜRKIYE,2021,1.0,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2010,4.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2011,1.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2010,2.5,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2011,2.8,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2012,3.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2008,2.4,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2009,2.6,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2010,2.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2011,1.6,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,1.6,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,2.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,2.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,1.8,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,2.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,2.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,1.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,1.7,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,2.8,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,2.5,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,2.5,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,2.8,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,2.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2013,3.4,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2014,4.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2013,6.1,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2014,4.1,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2009,15.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2022,11.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2024,10.2,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2011,3.1,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2012,2.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2013,3.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2014,4.8,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2015,4.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,NO,NORWAY,2016,2.5,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,RS,SERBIA,2018,3.1,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2015,1.0,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2016,1.4,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2021,1.0,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2022,0.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2023,0.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,TR,TÜRKIYE,2024,1.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2011,4.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2012,3.6,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2013,6.3,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2014,6.0,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2015,5.9,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2016,6.7,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2017,6.7,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2018,3.4,PRIMARY
MINING AND QUARRYING,PERCENTAGE OF TOTAL EMPLOYMENT,UK,UNITED KINGDOM,2019,5.8,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,CZ,CZECHIA,2010,2.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,CZ,CZECHIA,2011,0.6,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,ES,SPAIN,2010,1.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,ES,SPAIN,2011,1.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,ES,SPAIN,2012,1.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2008,19.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2009,19.5,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2010,21.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2011,11.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,11.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,16.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,15.9,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,12.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,14.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,13.5,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,11.6,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,10.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,17.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,14.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,13.9,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,15.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,16.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,FR,FRANCE,2013,1.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,FR,FRANCE,2014,1.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,IT,ITALY,2013,2.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,IT,ITALY,2014,1.6,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NL,NETHERLANDS,2009,1.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NL,NETHERLANDS,2022,1.8,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NL,NETHERLANDS,2024,1.8,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2011,1.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2012,1.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2013,2.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2014,3.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2015,3.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,NO,NORWAY,2016,1.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,RS,SERBIA,2018,1.0,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2015,1.2,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2016,1.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2021,1.5,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2022,1.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2023,1.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,TR,TÜRKIYE,2024,3.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2011,4.4,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2012,4.5,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2013,8.3,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2014,7.9,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2015,9.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2016,7.7,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2017,8.1,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2018,4.5,PRIMARY
MINING AND QUARRYING,THOUSAND PERSONS,UK,UNITED KINGDOM,2019,7.4,PRIMARY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2008,3.9,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2009,4.4,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2010,4.0,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2011,4.4,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2012,4.2,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2013,4.7,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2014,4.0,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2015,4.6,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2016,5.5,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2017,5.7,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2018,5.1,INDUSTRY
MANUFACTURING,PERCENTAGE OF TOTAL EMPLOYMENT,AT,AUSTRIA,2019,4.6,INDUSTRY
