work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type,role_category,salary_band,international_job
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100.0,IN,L,Remote,ML / AI Engineer,Low,False
2023,EN,FT,Data Analyst,1700000,INR,20673,IN,50.0,IN,L,Hybrid,Data Analyst / BI,Low,False
2023,MI,FT,Applied Data Scientist,1700000,INR,20673,IN,100.0,IN,L,Remote,Data Scientist,Low,False
2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0.0,IN,L,On-site,Data Analyst / BI,Low,False
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50.0,IN,L,Hybrid,ML / AI Engineer,Low,False
2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50.0,IN,M,Hybrid,Data Engineer,Low,False
2023,SE,FT,AI Scientist,1500000,ILS,417937,IL,0.0,IL,L,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Lead Data Analyst,1500000,INR,18241,IN,50.0,IN,L,Hybrid,Data Analyst / BI,Low,False
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100.0,IN,L,Remote,Data Analyst / BI,Low,False
2023,MI,FT,Data Analytics Lead,1440000,INR,17511,IN,50.0,SG,M,Hybrid,Data Analyst / BI,Low,True
2022,MI,FT,Business Data Analyst,1440000,INR,18314,IN,50.0,IN,L,Hybrid,Data Analyst / BI,Low,False
2023,EN,FT,Data Engineer,1400000,INR,17025,IN,100.0,IN,L,Remote,Data Engineer,Low,False
2023,MI,FT,Data Scientist,1400000,INR,17025,IN,100.0,IN,L,Remote,Data Scientist,Low,False
2022,MI,FT,Business Data Analyst,1400000,INR,17805,IN,100.0,IN,M,Remote,Data Analyst / BI,Low,False
2022,EN,FT,Data Scientist,1400000,INR,17805,IN,100.0,IN,M,Remote,Data Scientist,Low,False
2023,MI,FT,Product Data Analyst,1350000,INR,16417,IN,100.0,IN,L,Remote,Data Analyst / BI,Low,False
2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100.0,AS,S,Remote,ML / AI Engineer,Low,True
2023,SE,FT,Data Analyst,1300000,INR,15809,IN,100.0,IN,S,Remote,Data Analyst / BI,Low,False
2022,MI,FT,Computer Vision Engineer,1250000,INR,15897,IN,100.0,IN,M,Remote,ML / AI Engineer,Low,False
2021,MI,FT,Data Analyst,1250000,INR,16904,IN,50.0,IN,L,Hybrid,Data Analyst / BI,Low,False
2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100.0,IN,S,Remote,Data Scientist,Low,False
2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100.0,IN,L,Remote,Data Analyst / BI,Low,False
2023,EX,FT,Data Scientist,1050000,NOK,100416,NO,50.0,NO,S,Hybrid,Data Scientist,Medium,False
2023,SE,FT,Data Science Consultant,1000000,THB,29301,TH,50.0,TH,M,Hybrid,Data Scientist,Low,False
2023,MI,FT,Data Analyst,866000,PHP,15680,PH,50.0,PH,L,Hybrid,Data Analyst / BI,Low,False
2023,MI,FT,Data Scientist,840000,THB,24613,TH,50.0,TH,L,Hybrid,Data Scientist,Low,False
2024,MI,FT,AI Architect,800000,USD,800000,CA,100.0,CA,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,800000,NOK,76508,NO,50.0,NO,S,Hybrid,Data Scientist,Low,False
2024,EN,FT,Data Analyst,774000,USD,774000,MX,0.0,MX,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Analytics Engineer,750000,USD,750000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,MI,FT,Machine Learning Scientist,750000,USD,750000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Analyst,750000,USD,750000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,MI,FT,Machine Learning Scientist,750000,USD,750000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Machine Learning Engineer,750000,USD,750000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Data Engineer,750000,USD,750000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,750000,USD,750000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,MI,FT,Machine Learning Scientist,720000,USD,720000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,720000,USD,720000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,MI,FT,Analytics Engineer,720000,USD,720000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,MI,FT,Research Engineer,720000,USD,720000,US,0.0,US,M,On-site,Research,Very High,False
2024,MI,FT,Research Scientist,720000,USD,720000,US,0.0,US,M,On-site,Research,Very High,False
2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0.0,MX,S,On-site,Data Engineer,Low,False
2023,SE,FT,Analytics Engineer,700000,USD,700000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,MI,FT,Machine Learning Software Engineer,627000,ZAR,34482,ZA,50.0,ZA,L,Hybrid,ML / AI Engineer,Low,False
2024,SE,FT,Research Scientist,600000,USD,600000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Prompt Engineer,600000,USD,600000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Research Engineer,600000,USD,600000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Machine Learning Engineer,550000,USD,550000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,MI,FT,ML Engineer,530000,USD,530000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Data Scientist,510000,HKD,65058,HK,0.0,HK,L,On-site,Data Scientist,Low,False
2024,SE,FT,Research Scientist,500000,USD,500000,US,100.0,US,M,Remote,Research,Very High,False
2024,SE,FT,Research Scientist,484000,USD,484000,US,100.0,US,M,Remote,Research,Very High,False
2023,EX,FT,Data Engineer,465000,USD,465000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Research Engineer,450000,USD,450000,US,0.0,US,M,On-site,Research,Very High,False
2020,MI,FT,Research Scientist,450000,USD,450000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,AI Architect,449000,USD,449000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Head of Machine Learning,448000,USD,448000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,MI,FT,Research Engineer,440000,USD,440000,US,0.0,US,M,On-site,Research,Very High,False
2024,MI,FT,ML Engineer,440000,USD,440000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,440000,USD,440000,US,0.0,US,M,On-site,Research,Very High,False
2024,EX,FT,Head of Machine Learning,438000,USD,438000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50.0,US,L,Hybrid,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,418000,USD,418000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100.0,US,S,Remote,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,414000,USD,414000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Applied Scientist,414000,USD,414000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2020,SE,FT,Data Scientist,412000,USD,412000,US,100.0,US,L,Remote,Data Scientist,Very High,False
2023,SE,FT,Deep Learning Engineer,409500,CAD,303387,CA,100.0,CA,M,Remote,ML / AI Engineer,Very High,False
2024,EX,FT,Machine Learning Engineer,408500,USD,408500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Research Scientist,405000,USD,405000,US,0.0,US,L,On-site,Research,Very High,False
2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100.0,US,L,Remote,Data Analyst / BI,Very High,False
2024,SE,FT,Data Architect,400000,USD,400000,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2024,MI,FT,AI Engineer,400000,USD,400000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Analytics Lead,398900,USD,398900,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Engineer,392000,USD,392000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,386100,USD,386100,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,MI,FT,Data Infrastructure Engineer,385000,USD,385000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,AI Engineer,385000,USD,385000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,385000,USD,385000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,MI,FT,Data Scientist,385000,USD,385000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,EX,FT,Data Engineer,385000,USD,385000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Research Engineer,385000,USD,385000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Data Infrastructure Engineer,385000,USD,385000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,ML Engineer,385000,USD,385000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Data Analyst,385000,USD,385000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,ML Engineer,383910,USD,383910,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,382320,USD,382320,US,0.0,US,M,On-site,Research,Very High,False
2024,EX,FT,Data Science,381500,USD,381500,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Data Architect,381500,USD,381500,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100.0,US,L,Remote,Data Scientist,Very High,False
2023,SE,FT,Data Architect,376080,USD,376080,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2023,EX,FT,Director of Data Science,375500,USD,375500,US,100.0,US,M,Remote,Data Scientist,Very High,False
2022,SE,FT,Machine Learning Software Engineer,375000,USD,375000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2022,SE,FT,Data Science Tech Lead,375000,USD,375000,US,50.0,US,L,Hybrid,Data Scientist,Very High,False
2023,SE,FT,Research Scientist,374000,USD,374000,US,0.0,US,M,On-site,Research,Very High,False
2024,EX,FT,Head of Machine Learning,373000,USD,373000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,AI Engineer,372000,USD,372000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,370000,USD,370000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Research Scientist,370000,USD,370000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Research Engineer,370000,USD,370000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Data Engineer,370000,USD,370000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,370000,USD,370000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,ML Engineer,365630,USD,365630,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,365100,USD,365100,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Architect,363000,USD,363000,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,Research Scientist,360000,USD,360000,US,0.0,US,M,On-site,Research,Very High,False
2024,MI,FT,Research Engineer,360000,USD,360000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,AI Engineer,360000,USD,360000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,BI Analyst,360000,TRY,18381,TR,100.0,TR,L,Remote,Data Analyst / BI,Low,False
2024,MI,FT,Research Scientist,359400,USD,359400,US,100.0,US,M,Remote,Research,Very High,False
2024,SE,FT,Data Scientist,359170,USD,359170,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,359170,USD,359170,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,ML Engineer,357900,USD,357900,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Architect,354200,USD,354200,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2023,EX,FT,Director of Data Science,353200,USD,353200,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Computer Vision Engineer,351000,USD,351000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EN,FT,Research Engineer,350000,USD,350000,US,0.0,US,M,On-site,Research,Very High,False
2023,EX,FT,Data Engineer,350000,USD,350000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,AI Engineer,350000,USD,350000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Lead,350000,USD,350000,US,0.0,US,M,On-site,Management,Very High,False
2023,MI,FT,Analytics Engineer,350000,GBP,430640,GB,0.0,GB,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Applied Scientist,350000,USD,350000,US,0.0,US,L,On-site,Data Scientist,Very High,False
2022,MI,FT,Data Analyst,350000,GBP,430967,GB,0.0,GB,M,On-site,Data Analyst / BI,Very High,False
2022,SE,FT,Data Scientist,350000,USD,350000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2022,SE,FT,Data Architect,345600,USD,345600,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,Analytics Engineer,345400,USD,345400,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Machine Learning Engineer,345400,USD,345400,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,345000,USD,345000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Research Scientist,345000,USD,345000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Analytics Lead,342400,USD,342400,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0.0,US,L,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,340000,USD,340000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,340000,USD,340000,US,100.0,US,M,Remote,Research,Very High,False
2023,SE,FT,Machine Learning Engineer,340000,USD,340000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Research Scientist,340000,USD,340000,US,100.0,US,M,Remote,Research,Very High,False
2024,SE,FT,Research Engineer,339250,USD,339250,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Research Scientist,337300,USD,337300,US,0.0,US,M,On-site,Research,Very High,False
2023,EX,FT,Director of Data Science,336400,USD,336400,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,ML Engineer,336300,USD,336300,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Data Engineer,334075,USD,334075,CA,0.0,CA,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Research Scientist,333500,USD,333500,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Engineer,333500,USD,333500,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Data Engineer,333500,USD,333500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,331640,USD,331640,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,331640,USD,331640,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,ML Engineer,331640,USD,331640,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Deep Learning Engineer,331640,USD,331640,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Engineer,331640,USD,331640,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Data Science,331292,USD,331292,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,330000,USD,330000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,EX,FT,Head of Machine Learning,330000,USD,330000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,AI Architect,330000,USD,330000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EX,FT,Head of Data Science,330000,USD,330000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,329700,USD,329700,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,EX,FT,Head of Data,329500,USD,329500,US,100.0,US,M,Remote,Management,Very High,False
2024,SE,FT,Analytics Engineer,329200,USD,329200,CA,100.0,CA,M,Remote,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Engineer,328400,USD,328400,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,328133,USD,328133,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,MI,FT,Data Science Manager,328000,USD,328000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Science Manager,328000,USD,328000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,EX,FT,Data Science,326000,USD,326000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,MI,FT,Data Analyst,325000,USD,325000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Scientist,325000,USD,325000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Analytics Engineering Manager,325000,GBP,399880,GB,50.0,GB,L,Hybrid,Data Analyst / BI,Very High,False
2020,EX,FT,Director of Data Science,325000,USD,325000,US,100.0,US,L,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Science,324100,USD,324100,US,0.0,US,L,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Science,324000,USD,324000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,ML Engineer,324000,USD,324000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,324000,USD,324000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,ML Engineer,324000,USD,324000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,324000,USD,324000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2022,EX,FT,Data Engineer,324000,USD,324000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,EX,FT,Data Science,323700,USD,323700,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Research Scientist,323300,USD,323300,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Research Scientist,323300,USD,323300,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,323300,USD,323300,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Data Scientist,322000,USD,322000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,322000,USD,322000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,MI,FT,Data Product Owner,321830,USD,321830,US,0.0,US,M,On-site,Management,Very High,False
2024,SE,FT,Research Scientist,321000,USD,321000,US,0.0,US,M,On-site,Research,Very High,False
2024,EX,FT,Business Intelligence,320000,USD,320000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Engineer,319000,USD,319000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,317070,USD,317070,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,317070,USD,317070,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,AI Architect,317000,USD,317000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,316900,USD,316900,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,316000,USD,316000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,ML Engineer,315850,USD,315850,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,315300,USD,315300,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,315000,USD,315000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2022,SE,FT,Data Engineer,315000,USD,315000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Data Scientist,314100,USD,314100,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,EX,FT,Head of Data Science,314100,USD,314100,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,EX,FT,Data Engineer,314000,USD,314000,CA,100.0,CA,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Data Engineer,313000,USD,313000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,EX,FT,Data Engineer,312287,USD,312287,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,311000,USD,311000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,310270,USD,310270,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,310270,USD,310270,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,310000,USD,310000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,AI Engineer,310000,USD,310000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Engineer,310000,USD,310000,US,0.0,US,M,On-site,Research,Very High,False
