occupation,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,occupation_short
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2020-Q1,5.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2020-Q3,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2020-Q4,3.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2021-Q1,3.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2021-Q2,4.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2021-Q3,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2021-Q4,3.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2022-Q1,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2022-Q2,4.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2022-Q3,4.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2022-Q4,6.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2023-Q1,8.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2023-Q2,9.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2023-Q3,9.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2023-Q4,11.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2024-Q1,11.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2024-Q2,12.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2024-Q3,12.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2024-Q4,10.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2025-Q1,10.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CY,CYPRUS,2025-Q2,10.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2019-Q4,12.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2020-Q1,13.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2020-Q2,15.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2020-Q3,17.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2020-Q4,18.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2021-Q1,17.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2021-Q2,15.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2021-Q3,15.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2021-Q4,15.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2022-Q1,14.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2022-Q2,13.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2022-Q3,13.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2022-Q4,12.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2023-Q1,12.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2023-Q2,12.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2023-Q3,11.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2023-Q4,11.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2024-Q1,11.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2024-Q2,11.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2024-Q3,12.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2024-Q4,13.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2025-Q1,16.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CZ,CZECHIA,2025-Q2,18.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2019-Q4,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2020-Q1,1.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2020-Q2,1.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2020-Q3,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2020-Q4,1.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2021-Q1,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2021-Q2,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2021-Q3,1.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2021-Q4,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2022-Q1,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2022-Q2,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2022-Q3,1.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2022-Q4,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2023-Q1,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2023-Q2,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2023-Q3,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2023-Q4,1.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2024-Q1,1.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2024-Q2,1.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2024-Q3,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2024-Q4,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2025-Q1,1.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DE,GERMANY,2025-Q2,1.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2020-Q1,8.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2020-Q2,7.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2020-Q3,6.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2020-Q4,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2021-Q1,3.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2021-Q2,2.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2021-Q3,2.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2021-Q4,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2022-Q1,1.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2022-Q2,1.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2022-Q3,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2022-Q4,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2023-Q1,2.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2023-Q2,2.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2023-Q3,2.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2023-Q4,3.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2024-Q1,3.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2024-Q2,3.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2024-Q3,3.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2024-Q4,3.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2025-Q1,2.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,DK,DENMARK,2025-Q2,2.4,ICT SERVICE MANAGERS
